age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Nat,Years to Olympics,Olympic Ranking
23,10.31,10.3,10.3,0.0,1.0,1.0,33876.0,1.0,1121.583333,4,9
24,10.3275,10.235,10.18,0.001966667,2.0,1.0,21851.0,1.0,1121.583333,3,9
25,10.25333333,10.2,10.13,0.0049,1.0,1.0,17355.33333,1.0,1121.583333,2,9
26,10.4,10.26,10.22,0.0032,6.0,4.0,26392.5,0.5,1121.583333,1,9
27,10.52,10.29,10.29,0.0,5.0,5.0,31544.0,0.0,1121.583333,4,9
20,10.45,10.24,10.24,0.0,1.0,1.0,22081.0,0.0,1140.91766,1,9
21,10.264,10.183,10.1,0.005067778,1.8,1.0,15687.4,0.8,1140.91766,4,9
23,10.205,10.175,10.13,0.00405,2.0,2.0,13748.0,1.0,1140.91766,2,9
25,10.37333333,10.22666667,10.16,0.002386667,2.0,1.0,20724.83333,0.666666667,1140.91766,5,9
26,10.368,10.18,10.07,0.00665,1.2,1.0,15488.2,0.4,1140.91766,4,9
27,10.36,10.24,10.17,0.0043,1.0,1.0,23364.0,1.0,1140.91766,3,9
24,10.3375,10.2525,10.22,0.000625,2.0,1.0,24412.25,0.75,1120.910256,1,9
25,10.26,10.3,10.3,0.0,1.0,1.0,33876.0,1.0,1120.910256,4,9
26,10.27,10.29,10.28,0.0002,2.0,2.0,31628.0,1.0,1120.910256,3,9
28,10.25,10.23666667,10.17,0.003433333,1.333333333,1.0,22472.0,1.0,1120.910256,1,9
30,10.34,10.28,10.27,0.0002,3.0,1.0,29498.0,1.0,1120.910256,3,9
19,10.30111111,10.19555556,10.08,0.003127778,2.0,1.0,16537.11111,0.666666667,1144.561396,1,9
20,10.24714286,10.16857143,10.04,0.005305495,1.857142857,1.0,13929.14286,0.857142857,1144.561396,4,9
21,10.27636364,10.18363636,10.08,0.003705455,2.727272727,1.0,15248.54545,0.727272727,1144.561396,3,9
22,10.21625,10.11,9.99,0.008971429,2.0,1.0,9290.125,0.875,1144.561396,2,9
23,10.075,9.98,9.88,0.02,1.0,1.0,2732.5,0.5,1144.561396,1,9
24,10.16210526,10.03684211,9.79,0.016922807,1.578947368,1.0,5747.684211,0.789473684,1144.561396,4,9
25,10.18571429,10.11,9.98,0.005723077,1.785714286,1.0,8496.857143,1.0,1144.561396,3,9
26,10.34,10.23,10.23,0.0,2.0,2.0,20480.0,1.0,1144.561396,2,9
27,10.1425,10.24,10.07,0.012866667,1.0,1.0,25975.5,1.0,1144.561396,1,9
29,10.26333333,10.22666667,10.16,0.003733333,2.5,1.0,20949.0,1.0,1144.561396,3,9
19,10.48833333,10.14166667,9.96,0.013696667,1.166666667,1.0,13087.83333,0.333333333,1140.106017,4,3
20,10.33333333,10.14666667,10.03,0.013233333,1.333333333,1.0,12939.0,0.666666667,1140.106017,3,3
21,10.13941176,9.995882353,9.75,0.008750735,1.529411765,1.0,2807.235294,0.647058824,1140.106017,2,3
22,10.11583333,10.045,9.91,0.009154545,2.083333333,1.0,5292.5,0.75,1140.106017,1,3
23,10.1475,10.0475,9.69,0.027392857,2.0,1.0,6895.75,0.75,1140.106017,5,3
24,10.25,10.2,10.15,0.0025,5.0,3.0,16726.33333,1.0,1140.106017,4,3
25,10.08076923,10.04923077,9.9,0.005357692,2.307692308,1.0,4548.923077,1.0,1140.106017,3,3
26,10.225,10.065,9.97,0.0121,1.75,1.0,6345.5,0.75,1140.106017,2,3
27,10.09692308,10.0,9.74,0.0193,2.076923077,1.0,4874.384615,0.846153846,1140.106017,1,3
20,10.57,10.3,10.3,0.0,2.0,2.0,33876.0,0.0,1151.202683,2,9
21,10.26,10.275,10.25,0.00125,1.5,1.0,28823.0,1.0,1151.202683,1,9
22,10.294,10.2,10.13,0.004,1.2,1.0,17340.0,0.4,1151.202683,5,9
23,10.23625,10.1125,9.98,0.011792857,1.5,1.0,10314.375,0.625,1151.202683,4,9
24,10.218,10.184,10.06,0.00593,1.8,1.0,15735.4,1.0,1151.202683,3,9
25,10.23333333,10.10333333,10.04,0.004233333,2.333333333,1.0,7345.333333,0.666666667,1151.202683,2,9
26,10.3675,10.18,10.12,0.0024,2.75,1.0,14237.0,0.75,1151.202683,1,9
26,10.28833333,10.23,10.19,0.00092,1.166666667,1.0,20758.83333,0.833333333,1125.944444,2,9
27,10.32,10.21333333,10.15,0.004233333,3.0,2.0,19060.66667,1.0,1125.944444,1,9
28,10.38,10.26,10.24,0.0008,2.5,1.0,25730.5,0.5,1125.944444,4,9
30,10.305,10.21,10.19,0.0008,2.0,1.0,17591.0,1.0,1125.944444,2,9
31,10.33666667,10.18,10.08,0.0076,1.0,1.0,15378.66667,0.666666667,1125.944444,1,9
32,10.26,10.195,10.15,0.00405,2.0,1.0,16231.5,1.0,1125.944444,4,9
23,10.38,10.275,10.25,0.00125,1.5,1.0,28823.0,1.0,1131.117647,1,9
24,10.29428571,10.15714286,9.97,0.009057143,1.0,1.0,13385.85714,0.857142857,1131.117647,4,9
25,10.30333333,10.19666667,10.18,0.000433333,2.0,1.0,15712.0,1.0,1131.117647,3,9
26,10.275,10.175,10.04,0.00943,2.166666667,1.0,15681.83333,0.833333333,1131.117647,2,9
27,10.37428571,10.21,10.12,0.002,2.5,1.0,18101.0,0.714285714,1131.117647,1,9
28,10.33,10.135,10.08,0.00605,2.0,2.0,9924.0,0.5,1131.117647,4,9
29,10.41,10.3,10.3,0.0,6.0,6.0,33876.0,1.0,1131.117647,3,9
22,10.30444444,10.23444444,10.07,0.007552778,2.777777778,1.0,23895.88889,0.888888889,1151.202683,4,9
